Average R2 Score,Layer1 Neurons,Learning Rate
0.7513453358321877,"[500, 500, 500, 500, 500]",0.0012
0.7540147349980291,"[500, 500, 500, 500, 500]",0.001
0.7560728461930929,"[500, 500, 500, 500, 500]",0.00075
0.7443627106254407,"[500, 500, 500, 500, 500]",0.0005
0.7540053945962661,"[500, 500, 500, 500, 500, 500]",0.0012
0.7526496362282724,"[500, 500, 500, 500, 500, 500]",0.001
0.7518540388966418,"[500, 500, 500, 500, 500, 500]",0.00075
0.7546641906120662,"[500, 500, 500, 500, 500, 500]",0.0005
0.7408140138715283,"[500, 500, 500, 500, 500, 500, 500]",0.0012
0.7440730889566564,"[500, 500, 500, 500, 500, 500, 500]",0.001
0.7512611828683148,"[500, 500, 500, 500, 500, 500, 500]",0.00075
0.7530274593353166,"[500, 500, 500, 500, 500, 500, 500]",0.0005
0.7551416343834082,"[550, 550, 550, 550, 550]",0.0012
0.7576139040211429,"[550, 550, 550, 550, 550]",0.001
0.7426023055633173,"[550, 550, 550, 550, 550]",0.00075
0.7528482612139946,"[550, 550, 550, 550, 550]",0.0005
0.7539845766309834,"[550, 550, 550, 550, 550, 550]",0.0012
0.7491463928481362,"[550, 550, 550, 550, 550, 550]",0.001
0.7546676836963634,"[550, 550, 550, 550, 550, 550]",0.00075
0.754102112524754,"[550, 550, 550, 550, 550, 550]",0.0005
0.7496049826732253,"[550, 550, 550, 550, 550, 550, 550]",0.0012
0.7497851704799036,"[550, 550, 550, 550, 550, 550, 550]",0.001
0.7487337517972606,"[550, 550, 550, 550, 550, 550, 550]",0.00075
0.7581756141474404,"[550, 550, 550, 550, 550, 550, 550]",0.0005
0.7393462359790877,"[600, 600, 600, 600, 600]",0.0012
0.7592444758932291,"[600, 600, 600, 600, 600]",0.001
0.7534064738118466,"[600, 600, 600, 600, 600]",0.00075
0.7493355804118522,"[600, 600, 600, 600, 600]",0.0005
0.7503394603353343,"[600, 600, 600, 600, 600, 600]",0.0012
0.7590081105999468,"[600, 600, 600, 600, 600, 600]",0.001
0.7505877145382439,"[600, 600, 600, 600, 600, 600]",0.00075
0.7564269048035744,"[600, 600, 600, 600, 600, 600]",0.0005
0.7520077200448639,"[600, 600, 600, 600, 600, 600, 600]",0.0012
0.7614502770557899,"[600, 600, 600, 600, 600, 600, 600]",0.001
0.7520582465860151,"[600, 600, 600, 600, 600, 600, 600]",0.00075
0.757493688692744,"[600, 600, 600, 600, 600, 600, 600]",0.0005
0.7602089621978653,"[650, 650, 650, 650, 650]",0.0012
0.7534491830616379,"[650, 650, 650, 650, 650]",0.001
0.7563835523728635,"[650, 650, 650, 650, 650]",0.00075
0.7578836693563974,"[650, 650, 650, 650, 650]",0.0005
0.7527704936051037,"[650, 650, 650, 650, 650, 650]",0.0012
0.7486421931245435,"[650, 650, 650, 650, 650, 650]",0.001
0.7522300585950471,"[650, 650, 650, 650, 650, 650]",0.00075
0.7556623439565122,"[650, 650, 650, 650, 650, 650]",0.0005
0.7541699624608998,"[650, 650, 650, 650, 650, 650, 650]",0.0012
0.7577351334266372,"[650, 650, 650, 650, 650, 650, 650]",0.001
0.7483416375179339,"[650, 650, 650, 650, 650, 650, 650]",0.00075
0.7582325659406467,"[650, 650, 650, 650, 650, 650, 650]",0.0005
