Average R2 Score,Layer1 Neurons,Learning Rate
0.8200317691193253,"[300, 300, 300, 300]",0.001
0.8040176270143758,"[300, 300, 300, 300]",0.0004
0.776923833251925,"[300, 300, 300, 300]",0.0001
0.819462051051593,"[300, 300, 300, 300, 300, 300]",0.001
0.8115100091326003,"[300, 300, 300, 300, 300, 300]",0.0004
0.7867869368655621,"[300, 300, 300, 300, 300, 300]",0.0001
0.8103586142093071,"[500, 500]",0.001
0.7974221454532492,"[500, 500]",0.0004
0.7540722679465489,"[500, 500]",0.0001
0.8240317241443907,"[500, 500, 500, 500]",0.001
0.8194047240503453,"[500, 500, 500, 500]",0.0004
0.8057065586902752,"[500, 500, 500, 500]",0.0001
0.8234474040209946,"[500, 500, 500, 500, 500, 500]",0.001
0.8221078663321543,"[500, 500, 500, 500, 500, 500]",0.0004
0.7965619965491314,"[500, 500, 500, 500, 500, 500]",0.0001
0.817327708212128,"[700, 700]",0.001
0.8063238537638324,"[700, 700]",0.0004
0.7711591830959452,"[700, 700]",0.0001
0.8238742305167853,"[700, 700, 700, 700]",0.001
0.8285295021303066,"[700, 700, 700, 700]",0.0004
0.8135465964577877,"[700, 700, 700, 700]",0.0001
0.8180158519074149,"[700, 700, 700, 700, 700, 700]",0.001
0.8214334366872896,"[700, 700, 700, 700, 700, 700]",0.0004
0.8116822249605032,"[700, 700, 700, 700, 700, 700]",0.0001
